Designator,Mid X,Mid Y,Rotation,Layer
D1,165.0,-109.25,180.0,top
D2,165.0,-114.25,180.0,top
D3,165.0,-106.75,0.0,top
D4,165.0,-111.75,0.0,top
D5,170.75,-113.0,0.0,top
D6,175.25,-111.5,90.0,top
D7,175.25,-105.5,90.0,top
J1,155.5775,-112.0,270.0,top
P1,173.89,-100.0,90.0,top
P2,173.89,-122.86,90.0,top
Q1,170.0,-108.5,90.0,top
R1,170.0,-105.0,0.0,top
R2,175.5,-119.75,180.0,top
R3,180.5,-119.75,180.0,top
R4,182.25,-103.25,180.0,top
R5,178.0,-104.25,270.0,top
U1,180.5,-112.0,270.0,top
U2,168.0,-118.25,180.0,top
